textID,text,sentiment,processed
cb774db0d1," I`d have responded, if I were going",neutral,id have respond if i were go
549e992a42, Sooo SAD I will miss you here in San Diego!!!,negative,sooo sad i will miss you here in san diego
088c60f138,my boss is bullying me...,negative,my bo is bulli me
9642c003ef, what interview! leave me alone,negative,what interview leav me alon
358bd9e861," Sons of ****, why couldn`t they put them on the releases we already bought",negative,son of whi couldnt they put them on the releas we alreadi bought
28b57f3990,http://www.dothebouncy.com/smf - some shameless plugging for the best Rangers forum on earth,neutral,smf some shameless plug for the best ranger forum on earth
6e0c6d75b1,2am feedings for the baby are fun when he is all smiles and coos,positive,2am feed for the babi are fun when he is all smile and coo
50e14c0bb8,Soooo high,neutral,soooo high
e050245fbd, Both of you,neutral,both of you
fc2cbefa9d, Journey!? Wow... u just became cooler.  hehe... (is that possible!?),positive,journey wow u just becam cooler hehe is that possibl
2339a9b08b," as much as i love to be hopeful, i reckon the chances are minimal =P i`m never gonna get my cake and stuff",neutral,a much a i love to be hope i reckon the chanc are minim p im never gonna get my cake and stuff
16fab9f95b,I really really like the song Love Story by Taylor Swift,positive,i realli realli like the song love stori by taylor swift
74a76f6e0a,My Sharpie is running DANGERously low on ink,negative,my sharpi is run danger low on ink
04dd1d2e34,i want to go to music tonight but i lost my voice.,negative,i want to go to music tonight but i lost my voic
bbe3cbf620,test test from the LG enV2,neutral,test test from the lg env 2
8a939bfb59,"Uh oh, I am sunburned",negative,uh oh i am sunburn
3440297f8b," S`ok, trying to plot alternatives as we speak *sigh*",negative,sok tri to plot altern a we speak sigh
919fa93391,"i`ve been sick for the past few days  and thus, my hair looks wierd.  if i didnt have a hat on it would look... http://tinyurl.com/mnf4kw",negative,ive been sick for the past few day and thu my hair look wierd if i didnt have a hat on it would look mnf 4kw
af3fed7fc3,is back home now      gonna miss every one,negative,is back home now gonna miss everi one
40e7becabf,Hes just not that into you,neutral,he just not that into you
04d17ef61e," oh Marly, I`m so sorry!!  I hope you find her soon!! <3 <3",neutral,oh marli im so sorri i hope you find her soon 3 3
e48b0b8a23,Playing Ghost Online is really interesting. The new updates are Kirin pet and Metamorph for third job.  Can`t wait to have a dragon pet,positive,play ghost onlin is realli interest the new updat are kirin pet and metamorph for third job cant wait to have a dragon pet
7de057cf40,is cleaning the house for her family who is comming later today..,neutral,is clean the hous for her famili who is com later today
9ce5570064,gotta restart my computer .. I thought Win7 was supposed to put an end to the constant rebootiness,neutral,gotta restart my comput i thought win 7 wa suppos to put an end to the constant rebooti
0c8cc71c46,SEe waT I Mean bOuT FoLL0w fRiiDaYs... It`S cALLed LoSe f0LloWeRs FridAy... smH,neutral,see wat i mean bout foll 0w friiday it call lose f0llower friday smh
e00c6ef376,"the free fillin` app on my ipod is fun, im addicted",positive,the free fillin app on my ipod is fun im addict
852edc3769,  I`m sorry.,negative,im sorri
bdc32ea43c,On the way to Malaysia...no internet access to Twit,negative,on the way to malaysia no internet access to twit
6ce4a4954b,juss came backk from Berkeleyy ; omg its madd fun out there  havent been out there in a minute . whassqoodd ?,positive,juss came backk from berkeleyi omg it madd fun out there havent been out there in a minut whassqoodd
d22e6d40a7,Went to sleep and there is a power cut in Noida  Power back up not working too,negative,went to sleep and there is a power cut in noida power back up not work too
d33f811375,I`m going home now. Have you seen my new twitter design? Quite....heavenly isn`****?,positive,im go home now have you seen my new twitter design quit heavenli isn
7d8c4c11e4,i hope unni will make the audition . fighting dahye unni !,positive,i hope unni will make the audit fight dahy unni
1c31703aef, If it is any consolation I got my BMI tested hahaha it says I am obesed  well so much for being unhappy for about 10 minutes.,negative,if it is ani consol i got my bmi test hahaha it say i am obes well so much for be unhappi for about 10 minut
2dc51711bc, That`s very funny.  Cute kids.,positive,that veri funni cute kid
d21ab5855b," Ahhh, I slept through the game.  I`m gonna try my best to watch tomorrow though. I hope we play Army.",neutral,ahhh i slept through the game im gonna tri my best to watch tomorrow though i hope we play armi
4f5267ad70,"Thats it, its the end. Tears for Fears vs Eric Prydz, DJ Hero   http://bit.ly/2Hpbg4",neutral,that it it the end tear for fear v eric prydz dj hero 2hpbg4
2724775d6b,Born and raised in NYC and living in Texas for the past 10 years!  I still miss NY,negative,born and rais in nyc and live in texa for the past 10 year i still miss ny
1cbc812ece,"just in case you wonder, we are really busy today and this coming with with adding tons of new blogs and updates stay tuned",neutral,just in case you wonder we are realli busi today and thi come with with ad ton of new blog and updat stay tune
4b61dffbeb,i`m soooooo sleeeeepy!!! the last day o` school was today....sniffle....,negative,im soooooo sleeeeepi the last day o school wa today sniffl
2863f435bd,"A little happy for the wine jeje ok it`sm my free time so who cares, jaja i love this day",positive,a littl happi for the wine jeje ok itsm my free time so who care jaja i love thi day
d93afa85cf," Car not happy, big big dent in boot! Hoping theyre not going to write it off, crossing fingers and waiting",neutral,car not happi big big dent in boot hope theyr not go to write it off cross finger and wait
fab6b7d16c,im an avid fan of **** magazine and i love your magazines,positive,im an avid fan of magazin and i love your magazin
2e7082d1c8,MAYDAY?!,neutral,mayday
684081e4e7,"RATT ROCKED NASHVILLE TONITE..ONE THING SUCKED, NO ENCORE!  LIKE IN THE 80`S THEY STILL HAVE A FUN SHOW. PEARCY HAS THAT HOTT BAD BOY LOOK",neutral,ratt rock nashvil tonit one thing suck no encor like in the 80 they still have a fun show pearci ha that hott bad boy look
c77717b103, I love to! But I`m only available from 5pm.  and where dear? Would love to help  convert her vids.ï¿½,positive,i love to but im onli avail from 5pm and where dear would love to help convert her vid
a9d499e123,The girl in the hair salon asked me 'Shall I trim your eyebrows!' How old do I feel?,neutral,the girl in the hair salon ask me shall i trim your eyebrow how old do i feel
ddf296dffa,egh blah and boooooooooooo i dunno wanna go to work  HANGOVERS SUCKKKKKK Im a drunk mess!,negative,egh blah and boooooooooooo i dunno wanna go to work hangov suckkkkkk im a drunk mess
c3924dc9e4,:visiting my friendster and facebook,neutral,visit my friendster and facebook
3d9d4b0b55,"i donbt like to peel prawns, i also dont like going shopping, running out of money and crawling round the car looking for more",negative,i donbt like to peel prawn i also dont like go shop run out of money and crawl round the car look for more
3fcea4debc, which case? I got a new one last week and I`m not thrilled at all with mine.,negative,which case i got a new one last week and im not thrill at all with mine
a3ae670885, Then you should check out http://twittersucks.com and connect with other tweeple who hate twitter,neutral,then you should check out and connect with other tweepl who hate twitter
15d5f3a41b," also bored at school, its my third freelesson( freistunde )",neutral,also bore at school it my third freelesson freistund
3c4a21b2cb, hm... Both of us I guess...,neutral,hm both of u i guess
11084dac09, it is ****...u have dissappointed me that past few days,negative,it is u have dissappoint me that past few day
d8ba2a99a9, romance zero is funny,positive,romanc is funni
e77fd45003, I`d rather do the early run..but I am a morning runner,neutral,id rather do the earli run but i am a morn runner
b159318d76,Bah a coworker ran into work late and her bag smacked into my knee  it really hurts now,negative,bah a cowork ran into work late and her bag smack into my knee it realli hurt now
6086b1f016,will be back later.  http://plurk.com/p/rp3k7,neutral,will be back later prp 3k7
703afdc44b,Aw. Torn ace of hearts  #Hunchback,negative,aw torn ace of heart hunchback
90f3d2b572, what fun are you speaking of?,neutral,what fun are you speak of
52483f7da8,"i lost all my friends, i`m alone and sleepy..i wanna go home",negative,i lost all my friend im alon and sleepi i wanna go home
a4b0888da6, haha yes,neutral,haha ye
2a9765b7f9,I give in to easily,negative,i give in to easili
90a2cdb657,What better way to spoil mum than to let her kick back and relax over a nice meal and a bottle of her favorite wine? Our wine was a red,positive,what better way to spoil mum than to let her kick back and relax over a nice meal and a bottl of her favorit wine our wine wa a red
98f25bc596,mannnn..... _ got an iphone!!! im jealous....  http://bit.ly/NgnaR,negative,mannnn got an iphon im jealou ngnar
23e1f7dca4,Is at a photoshoot.,neutral,is at a photoshoot
95e12b1cb1,  He`s awesome... Have you worked with him before? He`s a good friend.,positive,he awesom have you work with him befor he a good friend
c34feef039,Yay playing a show tonight! Boo it`s gonna soggy and I`m at work right before playing,neutral,yay play a show tonight boo it gonna soggi and im at work right befor play
fa2654e730,Chilliin,positive,chilliin
187494c25b," If you know such agent, do let me know",neutral,if you know such agent do let me know
4213627c3c,I still smell of smoke  #kitchenfire,neutral,i still smell of smoke kitchenfir
a4e00d4d26, a celtics-lakers rematch sounds better don`t you think? lol,positive,a celticslak rematch sound better dont you think lol
04e2e334de,"Anyone have an extra Keane ticket? I promise to buy you a drink and take rad pics for your FB / Blog / Flickr., etc",neutral,anyon have an extra kean ticket i promis to buy you a drink and take rad pic for your fb blog flickr etc
0c4aa867d0,"'you can ride one, you can catch one, but its not summer til you pop open one'  ?",neutral,you can ride one you can catch one but it not summer til you pop open one
